"","State","County","Site","Date","X24hrPM","Time","CloudAOD","PCloudAOD","CloudRadius","CloudWaterPath","CloudTopHgt","CloudPhase","CloudTopTemp","CloudEmmisivity","PAnyCld","PSingleCld","PMultiCld"
"1",6,1,7,"2007-04-06",4,"1915",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"2",6,1,7,"2007-04-06",4,"2050",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"3",6,1,7,"2007-04-12",3,"1835",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"4",6,1,7,"2007-04-12",3,"2155",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"5",6,1,7,"2007-04-18",2.5,"1940",NA,1.15499997418374,NA,NA,250,1,13295,20,0.2,1,0
"6",6,1,7,"2007-04-18",2.5,"2115",12.5499997194856,4.98999988846481,7.81999982520938,69,250,1,13458,44,0.34,0.941176470588235,0.0588235294117647
"7",6,1,7,"2007-04-24",4.4,"1900",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8",6,1,7,"2007-04-30",8,"1825",NA,NA,NA,NA,NA,0,-32768,NA,0,NA,NA
"9",6,1,7,"2007-04-30",8,"2140",NA,1.17999997362494,NA,NA,0,0,-9049.5,16,0.12,1,0
"10",6,1,7,"2007-05-06",4.3,"1925",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"11",6,1,7,"2007-05-06",4.3,"2105",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"12",6,1,7,"2007-05-12",7,"1850",NA,NA,NA,NA,NA,0,-32768,NA,0,NA,NA
"13",6,1,7,"2007-05-12",7,"2205",0.559999987483025,0.459999989718199,18.5149995861575,4.5,250,1,14040,88,0.28,1,0
"14",6,1,7,"2007-05-18",5.2,"2130",0.979999978095293,0.899999979883432,42.1499990578741,25,10650,0,-12697,5,0.16,1,0
"15",6,1,7,"2007-05-24",8.9,"1915",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
